Nodos Aristas Frontera |CMF| Segundos
16 22 7 2 0.00210000000000000
16 22 7 2 0.00003400000000000
17 23 7 2 0.00004200000000000
16 22 7 2 0.00067600000000000
18 24 8 2 0.00003900000000000
18 24 8 2 0.00002900000000000
17 23 7 2 0.00004800000000000
16 22 7 2 0.00005000000000000
17 23 7 2 0.00004200000000000
18 24 8 2 0.00006100000000000
18 24 8 2 0.00003000000000000
18 24 8 2 0.00003600000000000
18 24 8 2 0.00003700000000000
16 22 7 2 0.00003600000000000
17 23 7 2 0.00004400000000000
16 22 7 2 0.00003400000000000
18 24 8 2 0.00002800000000000
18 24 8 2 0.00004300000000000
19 25 8 2 0.00003300000000000
17 23 7 2 0.00003700000000000
19 25 8 2 0.00003100000000000
18 24 8 2 0.00003600000000000
17 23 7 2 0.00069300000000000
16 22 7 2 0.00020600000000000
20 34 9 2 0.00003400000000000
17 23 7 2 0.00006200000000000
16 22 7 2 0.00022800000000000
19 25 8 2 0.00003800000000000
20 34 9 2 0.00004800000000000
20 34 9 2 0.00004800000000000
19 25 8 2 0.00003100000000000
17 23 7 2 0.00003500000000000
16 22 7 2 0.00003800000000000
17 23 7 2 0.00003600000000000
20 34 9 2 0.00003800000000000
20 34 9 2 0.00004800000000000
20 34 9 2 0.00003300000000000
20 34 9 2 0.00004700000000000
20 34 9 2 0.00004200000000000
21 35 9 2 0.00004800000000000
21 35 9 2 0.00004400000000000
21 35 9 2 0.00003900000000000
19 25 8 2 0.00003800000000000
21 35 9 2 0.00004300000000000
21 35 9 2 0.00003500000000000
18 24 8 2 0.00004400000000000
22 36 10 2 0.00003900000000000
21 35 9 2 0.00004800000000000
19 25 8 2 0.00003700000000000
22 36 10 2 0.00004400000000000
21 35 9 2 0.00004900000000000
20 34 9 2 0.00003800000000000
22 36 10 2 0.00004500000000000
22 36 10 2 0.00004900000000000
22 36 10 2 0.00003700000000000
22 36 10 2 0.00005000000000000
23 37 10 2 0.00003900000000000
21 35 9 2 0.00005000000000000
23 37 10 2 0.00004200000000000
21 35 9 2 0.00005400000000000
23 37 10 2 0.00004300000000000
19 25 8 2 0.00003700000000000
24 49 11 2 0.00004800000000000
22 36 10 2 0.00003900000000000
23 37 10 2 0.00005100000000000
24 49 11 2 0.00005100000000000
22 36 10 2 0.00004700000000000
23 37 10 2 0.00005100000000000
23 37 10 2 0.00004000000000000
22 36 10 2 0.00004700000000000
19 25 8 2 0.00003800000000000
19 25 8 2 0.00003800000000000
24 49 11 2 0.00004700000000000
24 49 11 2 0.00005800000000000
21 35 9 2 0.00004900000000000
23 37 10 2 0.00004000000000000
24 49 11 2 0.00006200000000000
23 37 10 2 0.00005000000000000
22 36 10 2 0.00004900000000000
23 37 10 2 0.00005000000000000
25 50 11 2 0.00006000000000000
25 50 11 2 0.00005000000000000
25 50 11 2 0.00006500000000000
24 49 11 2 0.00006400000000000
24 49 11 2 0.00004400000000000
26 51 12 2 0.00006100000000000
20 34 9 2 0.00005200000000000
26 51 12 2 0.00006000000000000
26 51 12 2 0.00004800000000000
26 51 12 2 0.00006000000000000
25 50 11 2 0.00004900000000000
25 50 11 2 0.00005600000000000
26 51 12 2 0.00006100000000000
24 49 11 2 0.00006200000000000
23 37 10 2 0.00005000000000000
26 51 12 2 0.00005400000000000
27 52 12 2 0.00005200000000000
25 50 11 2 0.00007100000000000
19 25 8 2 0.00003800000000000
25 50 11 2 0.00006500000000000
24 49 11 2 0.00004200000000000
27 52 12 2 0.00006900000000000
26 51 12 2 0.00006000000000000
27 52 12 2 0.00006400000000000
24 49 11 2 0.00004300000000000
16 22 7 2 0.00003300000000000
26 51 12 2 0.00006000000000000
25 50 11 2 0.00004500000000000
25 50 11 2 0.00005600000000000
27 52 12 2 0.00005600000000000
26 51 12 2 0.00006000000000000
27 52 12 2 0.00005500000000000
26 51 12 2 0.00006000000000000
28 67 13 2 0.00005400000000000
28 67 13 2 0.00006700000000000
28 67 13 2 0.00005500000000000
17 23 7 2 0.00003600000000000
28 67 13 2 0.00006700000000000
29 68 13 2 0.00006000000000000
28 67 13 2 0.00006800000000000
29 68 13 2 0.00006800000000000
27 52 12 2 0.00006400000000000
28 67 13 2 0.00006700000000000
28 67 13 2 0.00007200000000000
29 68 13 2 0.00006100000000000
27 52 12 2 0.00006400000000000
29 68 13 2 0.00006800000000000
29 68 13 2 0.00007800000000000
30 69 14 2 0.00006100000000000
29 68 13 2 0.00007500000000000
28 67 13 2 0.00005400000000000
28 67 13 2 0.00006800000000000
30 69 14 2 0.00006400000000000
30 69 14 2 0.00006000000000000
27 52 12 2 0.00006500000000000
31 70 14 2 0.00006200000000000
30 69 14 2 0.00008400000000000
29 68 13 2 0.00006100000000000
31 70 14 2 0.00006200000000000
25 50 11 2 0.00006000000000000
30 69 14 2 0.00008500000000000
27 52 12 2 0.00006400000000000
31 70 14 2 0.00006300000000000
31 70 14 2 0.00006300000000000
30 69 14 2 0.00008500000000000
32 88 15 2 0.00005400000000000
31 70 14 2 0.00006200000000000
31 70 14 2 0.00006600000000000
32 88 15 2 0.00005400000000000
32 88 15 2 0.00006700000000000
32 88 15 2 0.00006700000000000
29 68 13 2 0.00007600000000000
32 88 15 2 0.00005400000000000
31 70 14 2 0.00007800000000000
32 88 15 2 0.00006800000000000
31 70 14 2 0.00007800000000000
30 69 14 2 0.00008300000000000
32 88 15 2 0.00006800000000000
32 88 15 2 0.00005400000000000
30 69 14 2 0.00008300000000000
33 89 15 2 0.00007500000000000
33 89 15 2 0.00009100000000000
27 52 12 2 0.00006300000000000
33 89 15 2 0.00007300000000000
31 70 14 2 0.00007800000000000
33 89 15 2 0.00007300000000000
31 70 14 2 0.00007800000000000
32 88 15 2 0.00005400000000000
34 90 16 2 0.00008200000000000
33 89 15 2 0.00009100000000000
34 90 16 2 0.00007300000000000
33 89 15 2 0.00009400000000000
33 89 15 2 0.00009400000000000
34 90 16 2 0.00009100000000000
33 89 15 2 0.00009800000000000
34 90 16 2 0.00007600000000000
34 90 16 2 0.00009500000000000
33 89 15 2 0.00007600000000000
28 67 13 2 0.00007300000000000
34 90 16 2 0.00007300000000000
34 90 16 2 0.00009600000000000
34 90 16 2 0.00009600000000000
35 91 16 2 0.00007500000000000
35 91 16 2 0.00007600000000000
33 89 15 2 0.00010100000000000
35 91 16 2 0.00009500000000000
34 90 16 2 0.00010000000000000
34 90 16 2 0.00009600000000000
36 112 17 2 0.00009500000000000
35 91 16 2 0.00009500000000000
35 91 16 2 0.00008400000000000
35 91 16 2 0.00009500000000000
35 91 16 2 0.00007900000000000
30 69 14 2 0.00008000000000000
36 112 17 2 0.00009200000000000
