Nodos Aristas Frontera |CMF| Segundos
4 3 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
5 4 3 1 0.00000000000000000
4 3 2 1 0.00000000000000000
4 3 2 1 0.00000000000000000
4 3 2 1 0.00000000000000000
4 3 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
5 4 2 1 0.00000000000000000
5 4 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
4 3 2 1 0.00000000000000000
4 3 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
5 4 2 1 0.00000000000000000
5 4 2 1 0.00000000000000000
6 5 4 1 0.00000000000000000
6 5 4 1 0.00000000000000000
5 4 3 1 0.00000000000000000
7 6 5 1 0.00000000000000000
6 5 4 1 0.00000000000000000
6 5 4 1 0.00000000000000000
7 6 3 1 0.00000000000000000
4 3 2 1 0.00000000000000000
6 5 4 1 0.00000000000000000
7 6 2 1 0.00000000000000000
5 4 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
5 4 3 1 0.00000000000000000
7 6 5 1 0.00000000000000000
8 7 6 1 0.00000000000000000
7 6 2 1 0.00000000000000000
8 7 6 1 0.00000000000000000
8 7 6 1 0.00000000000000000
5 4 3 1 0.00000000000000000
7 6 3 1 0.00000000000000000
7 6 5 1 0.00000000000000000
8 7 6 1 0.00000000000000000
8 7 6 1 0.00000000000000000
8 7 6 1 0.00000000000000000
9 8 3 1 0.00000000000000000
9 8 4 1 0.00000000000000000
6 5 4 1 0.00000000000000000
8 7 6 1 0.00000000000000000
6 5 4 1 0.00000000000000000
8 7 6 1 0.00000000000000000
6 5 4 1 0.00000000000000000
6 5 4 1 0.00000000000000000
6 5 4 1 0.00000000000000000
5 4 3 1 0.00000000000000000
10 9 8 1 0.00000000000000000
7 6 5 1 0.00000000000000000
9 8 3 1 0.00000000000000000
10 9 8 1 0.00000000000000000
9 8 4 1 0.00000000000000000
9 8 3 1 0.00000000000000000
10 9 3 1 0.00000000000000000
9 8 3 1 0.00000000000000000
11 10 4 1 0.00000000000000000
10 9 3 1 0.00000000000000000
11 10 4 1 0.00000000000000000
10 9 3 1 0.00000000000000000
3 2 2 1 0.00000000000000000
11 10 4 1 0.00000000000000000
3 2 2 1 0.00000000000000000
9 8 3 1 0.00000000000000000
11 10 5 1 0.00000000000000000
10 9 3 1 0.00000000000000000
11 10 4 1 0.00000000000000000
10 9 8 1 0.00000000000000000
10 9 3 1 0.00000000000000000
12 11 10 1 0.00000000000000000
11 10 4 1 0.00000000000000000
4 3 2 1 0.00000000000000000
8 7 6 1 0.00000000000000000
10 9 3 1 0.00000000000000000
7 6 3 1 0.00000000000000000
12 11 10 1 0.00000000000000000
12 11 10 1 0.00000000000000000
10 9 3 1 0.00000000000000000
11 10 9 1 0.00000000000000000
11 10 4 1 0.00000000000000000
7 6 5 1 0.00000000000000000
9 8 7 1 0.00000000000000000
13 12 4 1 0.00000000000000000
13 12 11 1 0.00000000000000000
12 11 10 1 0.00000000000000000
14 13 12 1 0.00000000000000000
14 13 12 1 0.00000000000000000
13 12 5 1 0.00000000000000000
8 7 6 1 0.00000000000000000
12 11 10 1 0.00000000000000000
13 12 5 1 0.00000000000000000
4 3 2 1 0.00000000000000000
11 10 4 1 0.00000000000000000
14 13 12 1 0.00000000000000000
12 11 10 1 0.00000000000000000
12 11 10 1 0.00000000000000000
13 12 6 1 0.00000000000000000
14 13 12 1 0.00000000000000000
15 14 6 1 0.00000000000000000
14 13 12 1 0.00000000000000000
11 10 4 1 0.00000000000000000
15 14 13 1 0.00000000000000000
