Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00000900000000000
2 1 1 1 0.00000400000000000
3 2 2 1 0.00001200000000000
4 3 2 1 0.00001000000000000
3 2 2 1 0.00000500000000000
3 2 2 1 0.00000900000000000
2 1 1 1 0.00025400000000000
4 3 2 1 0.00000300000000000
2 1 1 1 0.00001700000000000
2 1 1 1 0.00024800000000000
2 1 1 1 0.00029700000000000
4 3 3 1 0.00001200000000000
5 4 3 1 0.00000800000000000
3 2 2 1 0.00000500000000000
5 4 3 1 0.00000800000000000
3 2 2 1 0.00000600000000000
4 3 2 1 0.00000300000000000
5 4 3 2 0.00000600000000000
2 1 1 1 0.00019500000000000
4 3 2 1 0.00000400000000000
2 1 1 1 0.00000600000000000
6 5 5 1 0.00001300000000000
6 5 3 2 0.00001200000000000
5 4 3 1 0.00000700000000000
5 4 3 2 0.00000600000000000
5 4 4 1 0.00000800000000000
3 2 2 1 0.00001300000000000
5 4 3 1 0.00000500000000000
6 5 4 1 0.00001900000000000
2 1 1 1 0.00019100000000000
6 5 3 2 0.00001100000000000
7 6 4 2 0.00001500000000000
4 3 2 1 0.00000300000000000
5 4 3 1 0.00000800000000000
7 6 4 2 0.00000900000000000
7 6 4 2 0.00001100000000000
3 2 2 1 0.00001100000000000
7 6 4 2 0.00000900000000000
7 6 4 2 0.00001100000000000
6 5 2 1 0.00000800000000000
3 2 2 1 0.00000600000000000
3 2 2 1 0.00000500000000000
8 7 4 1 0.00001300000000000
7 6 5 2 0.00001400000000000
8 7 3 1 0.00001300000000000
7 6 3 2 0.00000700000000000
6 5 2 1 0.00000300000000000
6 5 3 2 0.00000800000000000
8 7 5 2 0.00001400000000000
8 7 4 2 0.00001300000000000
7 6 2 1 0.00000400000000000
8 7 5 1 0.00001300000000000
9 8 3 1 0.00001600000000000
8 7 4 2 0.00001300000000000
9 8 4 2 0.00001600000000000
9 8 5 2 0.00001700000000000
6 5 3 2 0.00001100000000000
9 8 4 2 0.00001700000000000
6 5 3 1 0.00001900000000000
9 8 5 2 0.00001700000000000
3 2 2 1 0.00163500000000000
5 4 3 2 0.00000600000000000
8 7 5 2 0.00001400000000000
6 5 3 1 0.00001500000000000
9 8 4 1 0.00001500000000000
4 3 2 1 0.00000600000000000
9 8 4 1 0.00001700000000000
10 9 3 1 0.00001900000000000
10 9 5 1 0.00002100000000000
10 9 4 1 0.00001900000000000
10 9 4 2 0.00002000000000000
9 8 5 2 0.00002000000000000
11 10 4 2 0.00003100000000000
10 9 3 1 0.00001900000000000
7 6 3 2 0.00001500000000000
10 9 5 2 0.00002600000000000
5 4 3 2 0.00000700000000000
11 10 6 2 0.00002500000000000
11 10 6 2 0.00002800000000000
7 6 4 2 0.00002000000000000
11 10 5 2 0.00002600000000000
11 10 6 2 0.00002700000000000
12 11 6 2 0.00003400000000000
12 11 5 2 0.00002700000000000
10 9 5 2 0.00002000000000000
11 10 4 1 0.00003300000000000
12 11 5 2 0.00002800000000000
11 10 6 2 0.00002600000000000
11 10 4 2 0.00002300000000000
8 7 4 2 0.00001300000000000
10 9 6 2 0.00002700000000000
12 11 4 2 0.00002900000000000
13 12 3 1 0.00002900000000000
4 3 3 1 0.00000800000000000
12 11 5 2 0.00002800000000000
13 12 6 2 0.00003500000000000
13 12 3 2 0.00003000000000000
9 8 4 2 0.00001600000000000
13 12 5 2 0.00003100000000000
13 12 4 2 0.00003000000000000
12 11 6 2 0.00002900000000000
13 12 6 2 0.00003400000000000
14 13 6 2 0.00003900000000000
14 13 6 2 0.00004000000000000
13 12 6 2 0.00003500000000000
14 13 5 2 0.00003800000000000
10 9 5 2 0.00002100000000000
12 11 7 2 0.00003100000000000
14 13 5 2 0.00003800000000000
14 13 5 2 0.00003800000000000
11 10 5 2 0.00002900000000000
13 12 5 2 0.00003500000000000
14 13 8 2 0.00004700000000000
14 13 5 2 0.00003900000000000
14 13 8 2 0.00004400000000000
13 12 5 2 0.00004200000000000
15 14 5 2 0.00004300000000000
14 13 6 2 0.00003800000000000
15 14 7 2 0.00004900000000000
14 13 6 2 0.00003900000000000
15 14 6 2 0.00004600000000000
15 14 7 2 0.00005100000000000
15 14 6 2 0.00004900000000000
12 11 3 2 0.00003300000000000
16 15 5 2 0.00004800000000000
16 15 6 2 0.00005700000000000
8 7 6 2 0.00001800000000000
12 11 7 2 0.00003000000000000
13 12 5 2 0.00004100000000000
4 3 2 1 0.00000300000000000
9 8 5 2 0.00001700000000000
16 15 6 2 0.00005200000000000
16 15 5 2 0.00005300000000000
16 15 7 2 0.00005600000000000
15 14 7 2 0.00005300000000000
16 15 7 2 0.00005300000000000
2 1 1 1 0.00028700000000000
17 16 7 2 0.00006000000000000
15 14 6 2 0.00004500000000000
17 16 6 2 0.00005800000000000
15 14 7 2 0.00006500000000000
16 15 8 2 0.00008000000000000
11 10 4 2 0.00002600000000000
17 16 7 2 0.00006000000000000
17 16 4 2 0.00005600000000000
17 16 4 2 0.00004900000000000
17 16 5 2 0.00005500000000000
17 16 6 2 0.00005500000000000
15 14 7 2 0.00005500000000000
15 14 3 1 0.00003700000000000
18 17 6 2 0.00008400000000000
18 17 5 2 0.00005900000000000
16 15 6 2 0.00005300000000000
18 17 7 2 0.00008300000000000
18 17 4 2 0.00005800000000000
19 18 4 2 0.00007400000000000
18 17 5 2 0.00005900000000000
8 7 4 1 0.00001400000000000
17 16 5 2 0.00007100000000000
18 17 5 2 0.00006000000000000
16 15 3 1 0.00004200000000000
4 3 3 1 0.00001400000000000
16 15 3 2 0.00004400000000000
18 17 3 1 0.00005600000000000
19 18 5 2 0.00007400000000000
12 11 4 2 0.00003400000000000
19 18 9 2 0.00007500000000000
18 17 5 2 0.00006000000000000
19 18 6 2 0.00006900000000000
19 18 5 2 0.00006900000000000
20 19 10 2 0.00009700000000000
18 17 4 1 0.00005800000000000
19 18 9 2 0.00008700000000000
10 9 5 2 0.00002100000000000
19 18 5 2 0.00007500000000000
20 19 6 2 0.00008100000000000
20 19 6 2 0.00007900000000000
18 17 6 2 0.00006600000000000
19 18 7 2 0.00007200000000000
21 20 3 1 0.00007400000000000
20 19 3 2 0.00007200000000000
19 18 5 2 0.00008300000000000
20 19 4 2 0.00007700000000000
21 20 6 2 0.00008700000000000
20 19 5 2 0.00008500000000000
21 20 4 1 0.00007800000000000
21 20 8 2 0.00009600000000000
21 20 9 2 0.00010000000000000
21 20 9 2 0.00010100000000000
22 21 6 2 0.00009400000000000
22 21 9 2 0.00010000000000000
22 21 7 2 0.00009700000000000
